TA63;50;20;EST-M;10;Yes;No;100;100;0;3288;19;1
TA64;50;20;EST-M;10;Yes;No;100;100;0;3158;17;1
TA65;50;20;EST-M;10;Yes;No;100;100;0;3241;19;1
TA66;50;20;EST-M;10;Yes;No;100;100;0;3366;18;1
TA67;50;20;EST-M;10;Yes;No;100;100;0;3370;19;1
TA68;50;20;EST-M;10;Yes;No;100;100;0;3299;18;1
TA69;50;20;EST-M;10;Yes;No;100;100;0;3556;16;1
TA70;50;20;EST-M;10;Yes;No;100;100;0;3549;18;1
TA61;50;20;MTWR-M;2;Yes;No;500;500;0;3519;23;2
TA62;50;20;MTWR-M;2;Yes;No;500;500;0;3517;23;2
TA63;50;20;MTWR-M;2;Yes;No;500;500;0;3358;22;2
TA64;50;20;MTWR-M;2;Yes;No;500;500;0;3242;20;1
TA65;50;20;MTWR-M;2;Yes;No;500;500;0;3366;24;2
TA66;50;20;MTWR-M;2;Yes;No;500;500;0;3395;19;1
TA67;50;20;MTWR-M;2;Yes;No;500;500;0;3719;32;2
TA68;50;20;MTWR-M;2;Yes;No;500;500;0;3343;20;2
TA69;50;20;MTWR-M;2;Yes;No;500;500;0;3641;19;1
TA70;50;20;MTWR-M;2;Yes;No;500;500;0;3663;22;2
TA61;50;20;MTWR-M;3;Yes;No;333;333;0;3193;11;1
TA62;50;20;MTWR-M;3;Yes;No;333;333;0;3353;17;1
TA63;50;20;MTWR-M;3;Yes;No;333;333;0;3090;12;1
TA64;50;20;MTWR-M;3;Yes;No;333;333;0;3124;16;1
TA65;50;20;MTWR-M;3;Yes;No;333;333;0;3118;14;1
TA66;50;20;MTWR-M;3;Yes;No;333;333;0;3147;11;1
TA67;50;20;MTWR-M;3;Yes;No;333;333;0;3241;15;1
TA68;50;20;MTWR-M;3;Yes;No;333;333;0;3095;11;1
TA69;50;20;MTWR-M;3;Yes;No;333;333;0;3404;11;1
TA70;50;20;MTWR-M;3;Yes;No;333;333;0;3476;16;1
TA61;50;20;MTWR-M;4;Yes;No;250;250;0;3279;14;1
TA62;50;20;MTWR-M;4;Yes;No;250;250;0;3389;18;1
TA63;50;20;MTWR-M;4;Yes;No;250;250;0;3289;19;1
TA64;50;20;MTWR-M;4;Yes;No;250;250;0;3042;13;1
TA65;50;20;MTWR-M;4;Yes;No;250;250;0;3057;12;1
TA66;50;20;MTWR-M;4;Yes;No;250;250;0;3045;7;1
TA67;50;20;MTWR-M;4;Yes;No;250;250;0;3238;15;1
TA68;50;20;MTWR-M;4;Yes;No;250;250;0;3116;12;1
TA69;50;20;MTWR-M;4;Yes;No;250;250;0;3316;8;1
TA70;50;20;MTWR-M;4;Yes;No;250;250;0;3367;12;1
TA61;50;20;MTWR-M;5;Yes;No;200;200;0;3196;11;1
TA62;50;20;MTWR-M;5;Yes;No;200;200;0;3289;15;1
TA63;50;20;MTWR-M;5;Yes;No;200;200;0;2999;9;1
TA64;50;20;MTWR-M;5;Yes;No;200;200;0;3138;16;1
TA65;50;20;MTWR-M;5;Yes;No;200;200;0;3147;15;1
TA66;50;20;MTWR-M;5;Yes;No;200;200;0;3177;12;1
TA67;50;20;MTWR-M;5;Yes;No;200;200;0;3222;14;1
TA68;50;20;MTWR-M;5;Yes;No;200;200;0;3046;9;1
TA69;50;20;MTWR-M;5;Yes;No;200;200;0;3427;12;1
TA70;50;20;MTWR-M;5;Yes;No;200;200;0;3537;18;1
TA61;50;20;MTWR-M;6;Yes;No;167;167;0;3357;17;1
TA62;50;20;MTWR-M;6;Yes;No;167;167;0;3305;15;1
TA63;50;20;MTWR-M;6;Yes;No;167;167;0;3134;14;1
TA64;50;20;MTWR-M;6;Yes;No;167;167;0;3114;15;1
TA65;50;20;MTWR-M;6;Yes;No;167;167;0;3147;15;1
TA66;50;20;MTWR-M;6;Yes;No;167;167;0;3143;10;1
TA67;50;20;MTWR-M;6;Yes;No;167;167;0;3254;15;1
TA68;50;20;MTWR-M;6;Yes;No;167;167;0;3035;9;1
TA69;50;20;MTWR-M;6;Yes;No;167;167;0;3429;12;1
TA70;50;20;MTWR-M;6;Yes;No;167;167;0;3565;19;1
TA61;50;20;MTWR-M;7;Yes;No;143;143;0;3265;14;1
TA62;50;20;MTWR-M;7;Yes;No;143;143;0;3355;17;1
TA63;50;20;MTWR-M;7;Yes;No;143;143;0;3175;15;1
TA64;50;20;MTWR-M;7;Yes;No;143;143;0;3139;16;1
TA65;50;20;MTWR-M;7;Yes;No;143;143;0;3183;17;1
TA66;50;20;MTWR-M;7;Yes;No;143;143;0;3261;15;1
TA67;50;20;MTWR-M;7;Yes;No;143;143;0;3256;15;1
TA68;50;20;MTWR-M;7;Yes;No;143;143;0;3177;14;1
TA69;50;20;MTWR-M;7;Yes;No;143;143;0;3322;8;1
TA70;50;20;MTWR-M;7;Yes;No;143;143;0;3521;18;1
TA61;50;20;MTWR-M;8;Yes;No;125;125;0;3361;17;1
TA62;50;20;MTWR-M;8;Yes;No;125;125;0;3358;17;1
TA63;50;20;MTWR-M;8;Yes;No;125;125;0;3135;14;1
TA64;50;20;MTWR-M;8;Yes;No;125;125;0;3209;19;1
TA65;50;20;MTWR-M;8;Yes;No;125;125;0;3146;15;1
TA66;50;20;MTWR-M;8;Yes;No;125;125;0;3256;14;1
TA67;50;20;MTWR-M;8;Yes;No;125;125;0;3224;14;1
TA68;50;20;MTWR-M;8;Yes;No;125;125;0;3138;13;1
TA69;50;20;MTWR-M;8;Yes;No;125;125;0;3423;11;1
TA70;50;20;MTWR-M;8;Yes;No;125;125;0;3537;18;1
TA61;50;20;MTWR-M;9;Yes;No;111;111;0;3391;18;1
TA62;50;20;MTWR-M;9;Yes;No;111;111;0;3336;16;1
TA63;50;20;MTWR-M;9;Yes;No;111;111;0;3157;15;1
TA64;50;20;MTWR-M;9;Yes;No;111;111;0;3170;17;1
TA65;50;20;MTWR-M;9;Yes;No;111;111;0;3182;17;1
TA66;50;20;MTWR-M;9;Yes;No;111;111;0;3321;17;1
TA67;50;20;MTWR-M;9;Yes;No;111;111;0;3314;17;1
TA68;50;20;MTWR-M;9;Yes;No;111;111;0;3146;13;1
TA69;50;20;MTWR-M;9;Yes;No;111;111;0;3417;11;1
TA70;50;20;MTWR-M;9;Yes;No;111;111;0;3523;18;1
TA61;50;20;MTWR-M;10;Yes;No;100;100;0;3345;17;1
TA62;50;20;MTWR-M;10;Yes;No;100;100;0;3445;20;2
TA63;50;20;MTWR-M;10;Yes;No;100;100;0;3238;18;1
TA64;50;20;MTWR-M;10;Yes;No;100;100;0;3154;17;1
TA65;50;20;MTWR-M;10;Yes;No;100;100;0;3232;19;1
TA66;50;20;MTWR-M;10;Yes;No;100;100;0;3244;14;1
TA67;50;20;MTWR-M;10;Yes;No;100;100;0;3338;18;1
TA68;50;20;MTWR-M;10;Yes;No;100;100;0;3219;16;1
TA69;50;20;MTWR-M;10;Yes;No;100;100;0;3465;13;1
TA70;50;20;MTWR-M;10;Yes;No;100;100;0;3577;19;1
TA61;50;20;EST-T;2;Yes;No;500;500;0;3494;22;2
TA62;50;20;EST-T;2;Yes;No;500;500;0;3593;25;2
TA63;50;20;EST-T;2;Yes;No;500;500;0;3263;18;1
TA64;50;20;EST-T;2;Yes;No;500;500;0;3325;23;2
TA65;50;20;EST-T;2;Yes;No;500;500;0;3397;25;2
TA66;50;20;EST-T;2;Yes;No;500;500;0;3552;25;2
TA67;50;20;EST-T;2;Yes;No;500;500;0;3523;25;2
TA68;50;20;EST-T;2;Yes;No;500;500;0;3372;21;2
TA69;50;20;EST-T;2;Yes;No;500;500;0;3661;19;1
TA70;50;20;EST-T;2;Yes;No;500;500;0;3746;25;2
TA61;50;20;EST-T;3;Yes;No;333;333;0;3515;23;2
TA62;50;20;EST-T;3;Yes;No;333;333;0;3536;23;2
TA63;50;20;EST-T;3;Yes;No;333;333;0;3297;20;1
TA64;50;20;EST-T;3;Yes;No;333;333;0;3284;22;2
TA65;50;20;EST-T;3;Yes;No;333;333;0;3352;23;2
TA66;50;20;EST-T;3;Yes;No;333;333;0;3452;21;2
TA67;50;20;EST-T;3;Yes;No;333;333;0;3422;21;2
TA68;50;20;EST-T;3;Yes;No;333;333;0;3291;18;1
TA69;50;20;EST-T;3;Yes;No;333;333;0;3706;21;2
TA70;50;20;EST-T;3;Yes;No;333;333;0;3753;25;2
TA61;50;20;EST-T;4;Yes;No;250;250;0;3640;27;2
TA62;50;20;EST-T;4;Yes;No;250;250;0;3544;24;2
TA63;50;20;EST-T;4;Yes;No;250;250;0;3606;31;2
TA64;50;20;EST-T;4;Yes;No;250;250;0;3411;26;2
TA65;50;20;EST-T;4;Yes;No;250;250;0;3474;27;2
TA66;50;20;EST-T;4;Yes;No;250;250;0;3686;30;2
TA67;50;20;EST-T;4;Yes;No;250;250;0;3804;35;2
TA68;50;20;EST-T;4;Yes;No;250;250;0;3505;26;2
TA69;50;20;EST-T;4;Yes;No;250;250;0;3743;22;2
TA70;50;20;EST-T;4;Yes;No;250;250;0;3742;25;2
TA61;50;20;EST-T;5;Yes;No;200;200;0;3644;27;2
TA62;50;20;EST-T;5;Yes;No;200;200;0;3602;26;2
TA63;50;20;EST-T;5;Yes;No;200;200;0;3835;39;2
TA64;50;20;EST-T;5;Yes;No;200;200;0;3342;24;2
TA65;50;20;EST-T;5;Yes;No;200;200;0;3397;25;2
TA66;50;20;EST-T;5;Yes;No;200;200;0;3545;25;2
TA67;50;20;EST-T;5;Yes;No;200;200;0;3525;25;2
TA68;50;20;EST-T;5;Yes;No;200;200;0;3557;28;2
TA69;50;20;EST-T;5;Yes;No;200;200;0;3732;22;2
TA70;50;20;EST-T;5;Yes;No;200;200;0;3694;23;2
TA61;50;20;EST-T;6;Yes;No;167;167;0;3586;25;2
TA62;50;20;EST-T;6;Yes;No;167;167;0;3606;26;2
TA63;50;20;EST-T;6;Yes;No;167;167;0;3436;25;2
TA64;50;20;EST-T;6;Yes;No;167;167;0;3490;29;2
TA65;50;20;EST-T;6;Yes;No;167;167;0;3385;24;2
TA66;50;20;EST-T;6;Yes;No;167;167;0;3573;26;2
TA67;50;20;EST-T;6;Yes;No;167;167;0;3575;27;2
TA68;50;20;EST-T;6;Yes;No;167;167;0;3525;27;2
TA69;50;20;EST-T;6;Yes;No;167;167;0;3707;21;2
TA70;50;20;EST-T;6;Yes;No;167;167;0;3741;25;2
TA61;50;20;EST-T;7;Yes;No;143;143;0;3549;24;2
TA62;50;20;EST-T;7;Yes;No;143;143;0;3594;25;2
TA63;50;20;EST-T;7;Yes;No;143;143;0;3546;29;2
TA64;50;20;EST-T;7;Yes;No;143;143;0;3481;29;2
TA65;50;20;EST-T;7;Yes;No;143;143;0;3465;27;2
TA66;50;20;EST-T;7;Yes;No;143;143;0;3694;30;2
TA67;50;20;EST-T;7;Yes;No;143;143;0;3753;33;2
TA68;50;20;EST-T;7;Yes;No;143;143;0;3588;29;2
TA69;50;20;EST-T;7;Yes;No;143;143;0;3693;20;2
TA70;50;20;EST-T;7;Yes;No;143;143;0;3796;27;2
TA61;50;20;EST-T;8;Yes;No;125;125;0;3625;26;2
TA62;50;20;EST-T;8;Yes;No;125;125;0;3692;29;2
TA63;50;20;EST-T;8;Yes;No;125;125;0;3490;27;2
TA64;50;20;EST-T;8;Yes;No;125;125;0;3467;28;2
TA65;50;20;EST-T;8;Yes;No;125;125;0;3493;28;2
TA66;50;20;EST-T;8;Yes;No;125;125;0;3484;22;2
TA67;50;20;EST-T;8;Yes;No;125;125;0;3577;27;2
TA68;50;20;EST-T;8;Yes;No;125;125;0;3458;24;2
TA69;50;20;EST-T;8;Yes;No;125;125;0;3720;21;2
TA70;50;20;EST-T;8;Yes;No;125;125;0;3716;24;2
TA61;50;20;EST-T;9;Yes;No;111;111;0;3704;29;2
TA62;50;20;EST-T;9;Yes;No;111;111;0;3751;31;2
TA63;50;20;EST-T;9;Yes;No;111;111;0;3646;32;2
TA64;50;20;EST-T;9;Yes;No;111;111;0;3509;30;2
TA65;50;20;EST-T;9;Yes;No;111;111;0;3505;29;2
TA66;50;20;EST-T;9;Yes;No;111;111;0;3671;29;2
TA67;50;20;EST-T;9;Yes;No;111;111;0;3585;27;2
TA68;50;20;EST-T;9;Yes;No;111;111;0;3587;29;2
TA69;50;20;EST-T;9;Yes;No;111;111;0;3753;22;2
TA70;50;20;EST-T;9;Yes;No;111;111;0;3777;26;2
TA61;50;20;EST-T;10;Yes;No;100;100;0;3744;31;2
TA62;50;20;EST-T;10;Yes;No;100;100;0;3685;28;2
TA63;50;20;EST-T;10;Yes;No;100;100;0;3642;32;2
TA64;50;20;EST-T;10;Yes;No;100;100;0;3403;26;2
TA65;50;20;EST-T;10;Yes;No;100;100;0;3581;31;2
TA66;50;20;EST-T;10;Yes;No;100;100;0;3618;27;2
TA67;50;20;EST-T;10;Yes;No;100;100;0;3500;24;2
TA68;50;20;EST-T;10;Yes;No;100;100;0;3464;24;2
TA69;50;20;EST-T;10;Yes;No;100;100;0;3724;21;2
TA70;50;20;EST-T;10;Yes;No;100;100;0;3859;29;2
TA61;50;20;MTWR-T;2;Yes;No;500;500;0;3487;22;2
TA62;50;20;MTWR-T;2;Yes;No;500;500;0;3621;26;2
TA63;50;20;MTWR-T;2;Yes;No;500;500;0;3259;18;1
TA64;50;20;MTWR-T;2;Yes;No;500;500;0;3273;21;2
TA65;50;20;MTWR-T;2;Yes;No;500;500;0;3391;24;2
TA66;50;20;MTWR-T;2;Yes;No;500;500;0;3436;21;2
TA67;50;20;MTWR-T;2;Yes;No;500;500;0;3394;20;2
TA68;50;20;MTWR-T;2;Yes;No;500;500;0;3331;20;1
TA69;50;20;MTWR-T;2;Yes;No;500;500;0;3657;19;1
TA70;50;20;MTWR-T;2;Yes;No;500;500;0;3810;27;2
TA61;50;20;MTWR-T;3;Yes;No;333;333;0;3381;18;1
TA62;50;20;MTWR-T;3;Yes;No;333;333;0;3651;27;2
TA63;50;20;MTWR-T;3;Yes;No;333;333;0;3284;19;1
TA64;50;20;MTWR-T;3;Yes;No;333;333;0;3282;21;2
